sta,lon,lat
APAC,-76.5804,7.90028
ARGC,-74.2458,9.8577
ARMEC,-75.6604,4.55607
BAR2,-73.18378,6.5918
BBAC,-77.2469,2.0216
BET,-75.4179,2.7225
BRR,-73.7121,7.1071
BOG,-74.08,4.641
CAP2,-77.359,8.646
CBOC,-76.0122,5.8645
CHI,-73.7317,4.6295
CREAC,-74.09195,4.63967
CRJC,-72.8816,11.02
CRU,-76.952,1.5678
CUFI,-77.345,1.226
CUM,-77.8249,0.9414
CVER,-74.0738,4.5211
DBB,-76.2097,7.0174
FLO2,-75.6525,1.5825
GARC,-75.4938,2.1867
GR1C,-78.1668,3.0027
GUA,-72.6239,2.5421
GUY2C,-75.3829,5.226
HEL,-75.529,6.1909
JAMC,-76.673444,3.214833
LCBC,-76.3677,8.8573
MACC,-73.8477,2.1452
MAL,-77.3318,4.01
MAN1C,-75.5244,5.0715
MAP,-81.6065,4.0036
MEDEC,-75.5893,6.276
MON,-75.6642,8.7788
NIZA,-75.47075,5.057778
NOR,-74.8691,5.5635
OCA,-73.3196,8.2389
ORTC,-75.2461,3.9093
PAL,-76.2825,4.9056
PAM,-72.6996,7.3395
PAS1,-77.322,1.189
PAS2,-77.256303,1.209695
PIZC,-77.3597,4.9653
POP2,-76.6761,2.5403
PRA,-74.8861,3.7139
PRV,-81.3633,13.376
PTA,-77.8085,7.1422
PTB,-74.4564,6.5395
PTGC,-72.134,4.199
PTLC,-74.797,-0.17042
RECRC,-75.3525,4.9604
ROSC,-74.3211,4.8449
RUS,-73.0832,5.8925
SJC,-75.1796,9.8967
SMAR,-74.2245,11.1638
SML,-74.0713,8.8008
SOL,-77.405428,6.223637
SPBC,-74.0724,5.6522
TABC,-74.2043,5.0114
TAM,-71.7913,6.4354
TOL,-75.3202,4.5853
TUM,-78.7268,1.8237
TUM3C,-78.745,1.824
URE,-75.5326,7.7517
URI,-71.9925,11.7017
VALLC,-73.2581,10.5086
VILL,-73.6934,4.1111
YOT,-76.3451,3.9834
ZAR,-74.858,7.4923